uuid,name,slug
397cac70-f22c-41e8-b0e3-c476753d12f9,Álvaro Obregón,alvaro-obregon
0db33f7c-f42c-4e21-a7a5-fd3b27e36281,Azcapotzalco,azcapotzalco
08e35e8b-697a-4f1e-8974-330bd2deefe4,Benito Juárez,benito-juarez
92ba33b0-360d-4cf9-bf56-920f8aff7a19,Coyoacán,coyoacan
21488600-bc19-45ac-ae43-35e14c58c461,Cuajimalpa de Morelos,cuajimalpa-de-morelos
352c21d7-2112-4416-953e-2d0dc429fa86,Cuauhtémoc,cuauhtemoc
ae14e1f7-2d5f-46d8-8394-d97ac7487065,Gustavo A. Madero,gustavo-a-madero
3c8712ca-ff71-4dbc-bd89-265be7eef38d,Iztacalco,iztacalco
7d4b2fa8-ed95-482a-a93c-ab29aaa77d37,Iztapalapa,iztapalapa
a1b7e745-9a17-4fe0-9d24-6e324e3c9c3e,La Magdalena Contreras,la-magdalena-contreras
27d78cd5-7f08-492b-9247-2345e8423388,Miguel Hidalgo,miguel-hidalgo
9cd3dd82-077d-4b53-aba1-39c4dba6864b,Milpa Alta,milpa-alta
ca75add3-058e-435b-8cad-421bd0839748,Tlalpan,tlalpan
9a31daae-d764-4905-a68f-516241eb9776,Tláhuac,tlahuac
00ce5383-a32d-41dd-b24a-4e625864d2e9,Venustiano Carranza,venustiano-carranza
77a8cd70-e3a6-40d6-85f1-ef3c4dda327a,Xochimilco,xochimilco
